    40>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\rational\rational.cpp(8,21): error C2039: '__gcd': is not a member of 'std' [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.lab\rational\rational.vcxproj]
    40>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.lab\rational\rational.cpp(8,21): error C3861: '__gcd': identifier not found [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.lab\rational\rational.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(88,5): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(88,5): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(94,5): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(94,5): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(98,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(98,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(99,3): error C2678: binary '!=': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(100,3): error C2678: binary '==': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(101,3): error C2678: binary '||': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(102,3): error C2678: binary '&&': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(103,3): error C2280: 'BitAccessor &BitAccessor::operator =(const BitAccessor &)': attempting to reference a deleted function [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(104,3): error C2678: binary '!': no operator found which takes a left-hand operand of type 'BitAccessor' (or there is no acceptable conversion) [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    16>D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(104,3): error C2088: '!': illegal for class [D:\projects\misis2023f-23-check\misis2024s-23-04-feigenberg-m-i\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
